1       10
1.2	    8
1.5	    7
2	    6.4
3	    5.8
4	    5.6
5	    5.5

0.4	    8.5
0.5	    6
0.6	    5
1	    4
1.25	4.2
1.5 	4.5
1.75	4.2
2	    4
2.25	4.075
2.5	    4.2
2.75	4.075
3	    4
3.25	4.04
3.5	    4.1
3.75	4.04
4	    4
4.25	4.02
4.5	    4.05
4.75	4.02
5	    4

1       15
1.2     13
1.5     11.6
1.7     11
2       10.3
2.5     9.8
3       9.6
4       9.5
5       9.6

0.4     9.4
0.5     9
0.7     5.6
1       5.8
1.2     6.4
1.5     5.6
1.8     5.8
2.4     5.6
2.7     5.7
3.2     5.6
3.6     5.65
4       5.6
4.4     5.605
5       5.61
